Material,Material Description,Material T,Long Text,CTL,MRP group,Batch #,C/N,Product Hi,Storage Lo,Storage Bi,ABC Indica,ELV ROHS,Lead Free,Plant,Vendor,Vendor Name,CBC Code:,Prodn Supe,Purch. Gro,Profit Cen,Ctry of or,Revision L,Spl. Stock,Sales Orde,Sales Orde.1,Customer,Planning l,VMSS Indic,GPL Code,VSM Name,Global Por,Manufacture Part No,Catalog No,UOM,Unrestrict,Restricted,QC Stock,Inv Value,Safety Sto,SS %,Stock in t,Blocked St,Blocked St.1,Date of Ma,Last goods,End of lif
29-1819019-20511,CORE INSERT,ZPTL,,A03,Z600,,,9789,PE04,,,N,N,822,,,12302,,IX4,101,IN,,,,,,AUT SHIRWAL,,350,,,,29-1819019-20511,PC,4,0,0,0.04,0,0.00,0,0.000,0.0,,,
2066494-1,CLOTH TAPE 19 MM X 25 MTR-8551 Coroplast,ZHLB,,A04,Z630,88785604,,M270,PE01,,A,C,N,822,,,43113,AE9,IIS,101,CN,A,,,,,AUT SHIRWAL,,P16,,3.0,,2066494-1,M,"97,200",0,0,252725.83,0,0.00,0,0.000,0.0,07/26/2025,07/26/2025,
9-1719442-1,61pos hybrid header 90deg,ZFRT,,A01,Z200,84010216,,M629,PE01,,B,C,N,822,,,43082,,,101,IN,A,,,,,AUT SHIRWAL,,NA0,,7.0,,9-1719442-1,PC,240,0,0,58980.0,0,0.00,0,0.000,0.0,05/17/2025,05/17/2025,
21-1018291-00220,Formabetet,ZPTL,,A05,Z600,,,9789,PE04,,,N,N,822,,,12302,,IH6,101,IN,,,,,,AUT SHIRWAL,,350,,,,21-1018291-00220,PC,4,0,0,0.04,0,0.00,0,0.000,0.0,,06/21/2024,
2379811-1,"AKI CODE A CABLE ASSEMBLY, SRC",ZFRT,,F03,Z200,84719577,,L733,PE01,,A,C,N,822,,,43187,,,101,IN,B,,,,,AUT SHIRWAL FG,,G03,,7.0,,2379811-1,PC,600,0,0,30498.0,0,0.00,0,0.000,0.0,05/26/2025,05/27/2025,
21-1976893-00505,Side Core Insert,ZPTL,,A05,Z600,,,9789,PE04,,,N,N,822,,,12302,,IH6,101,IN,,,,,,AUT SHIRWAL,,350,,,,21-1976893-00505,PC,2,0,0,0.02,0,0.00,0,0.000,0.0,,02/18/2025,
1534390-1,STD POW TIM HSG 5P,ZFRT,,A03,Z501,78700063,,M132,PE01,,B,C,X,822,,,43124,AE9,IH1,101,DE,A,,,,,AUT SHIRWAL,,N06,,2.0,,1534390-1,PC,"6,000",0,0,102384.36,0,0.00,0,0.000,0.0,03/31/2025,07/04/2025,
28-1956026-00117,Cavity Insert,ZPTL,,A05,Z600,,,9789,PE04,,,N,N,822,,,12302,,IH6,101,IN,,,,,,AUT SHIRWAL,,350,,,,28-1956026-00117,PC,2,0,0,0.02,0,0.00,0,0.000,0.0,,,
1915468-5,"ENCAPSULANT, SEMICOSIL 917, PART A",ZROH,,A04,Z600,SR094986,,8101,PE01,,B,C,N,822,,,12302,,IIS,101,DE,A,,,,,AUT SHIRWAL,,029,,,,1915468-5,KG,306,0,0,1383811.05,0,0.00,0,0.000,0.0,07/28/2025,07/28/2025,
2311587-1,"FUSE HOLDER,868-062-000 LITTLE FUSE",ZHLB,,A05,Z501,76612306,,L727,PE01,,B,C,N,822,,,43058,AE9,IH7,101,MX,A,,,,,AUT SHIRWAL,,895,,,,2311587-1,PC,95,0,0,3447.95,0,0.00,0,0.000,0.0,02/03/2025,02/03/2025,
21-0138575-00722,SIDE CORE INSERT,ZPTL,,A03,Z600,,,9789,PE04,,,N,N,822,,,12302,,IX4,101,IN,,,,,,AUT SHIRWAL,,350,,,,21-0138575-00722,PC,4,0,0,0.04,0,0.00,0,0.000,0.0,,,
2066411-1,Carton Box 940x460x515 mm (6 cyl),ZROH,,A05,Z630,84719698,,A149,PE01,,C,U,X,822,,,43058,AE9,IH6,101,IN,A,,,,,AUT SHIRWAL,,895,,,,2066411-1,PC,1.996,0,0,337.84,0,0.00,0,0.000,0.0,05/26/2025,05/26/2025,
7-1203515-2,LOCK FOR BLOWER MOTOR,ZHLB,,A05,Z501,48644446,,M289,PE01,,C,C,X,822,,,43186,AE9,G30,101,JP,O,,,,,AUT SHIRWAL,,N03,,,,7-1203515-2,PC,"12,000",0,0,77060.04,0,0.00,0,0.000,0.0,12/01/2023,12/07/2023,
1-1573728-2,"PBT COLORANT, PURE WHITE PBT926247, A",ZROH,,A11,Z600,68834021,,8012,PE01,,C,C,N,822,,,12302,,IBY,101,DE,A,,,,,AUT SHIRWAL,,029,,,,1-1573728-2,KG,19,0,0,53113.18,0,0.00,0,0.000,0.0,10/18/2024,10/18/2024,
51-1014182-10000,Zylinderstift,ZPTL,,A03,Z600,,,9789,PE04,,,N,N,822,,,12302,,IX4,101,IN,,,,,,AUT SHIRWAL,,350,,,,51-1014182-10000,PC,3,0,0,0.03,0,0.00,0,0.000,0.0,,,
2315066-1,"STEERING WHEEL WH,G2X-M-SPORT,VERSION A",ZFRT,,F01,Z100,85592767,,L232,PE01,,C,C,N,822,,,43058,AE9,,101,IN,D,,,,,AUT SHIRWAL FG,,895,,7.0,,2315066-1,PC,"1,080",0,0,77464.8,0,0.00,0,180.000,0.0,06/10/2025,06/11/2025,
2-1203453-4,WIRE FLRY-A 0.35MM2 YELLOW,ZHLB,,A04,Z501,88790033,,M289,PE01,,B,C,X,822,,,43186,AE9,IIS,101,TR,O,,,,,AUT SHIRWAL,,N03,,,,2-1203453-4,M,"51,023",0,0,195654.33,0,0.00,0,0.000,0.0,07/26/2025,07/26/2025,
1-1563974-2,"CON, SQUIB,HOUSING, 2 POS.,CODB",ZHLB,,A03,Z501,50540149,,M111,PE01,,C,C,X,822,,,43095,AE9,IBY,101,CZ,B,,,,,AUT SHIRWAL,,N87,,,,1-1563974-2,PC,"44,000",0,0,89300.2,0,0.00,0,0.000,0.0,03/05/2024,08/02/2024,
1-1417667-1,TERMINAL left,ZHLB,,A05,Z501,76199041,,E951,,,C,,X,822,410922.0,ANIL PLASTICS & ENTERPRISES,43061,,IBY,101,IN,B,O,,,,AUT SHIRWAL,,K27,,,,,PC,29,0,0,143.68,0,0.00,0,0.000,0.0,01/27/2025,01/27/2025,
1897210-1,MCP HYB 4P PLUG ASSY,ZFRT,,A03,Z501,250708,,M736,PE01,,C,C,X,822,,,43077,AE9,IBY,101,KR,A,,,,,AUT SHIRWAL,,NB3,,3.0,,1897210-1,PC,600,0,0,9049.93,0,0.00,0,0.000,0.0,07/07/2025,07/16/2025,
E179663001,55E0111-1.00-2(B01),ZFRT,,A03,Z501,78562347,,B914,PE01,,C,C,X,822,,,13011,,IX3,101,GB,O,,,,,AUT SHIRWAL,,572,,,,55E0111-1.00-2(B01),M,"3,735.022",0,0,71382.92,0,0.00,0,0.000,0.0,03/19/2025,07/04/2025,
28-1209706-00145,CAVITY INSERT,ZPTL,,A05,Z600,,,9789,PE04,,,N,N,822,,,12302,,IH6,101,IN,,,,,,AUT SHIRWAL,,350,,,,28-1209706-00145,PC,6,0,0,0.06,0,0.00,0,0.000,0.0,,,
6-928918-1,"MQS0,63 Sn tab LL unseal. 0,2-0,35",ZFRT,,A03,Z501,86J0002818,,M012,PE01,,B,C,N,822,,,43171,,IX3,101,DE,W,,,,,AUT SHIRWAL,,N01,,1.0,,6-928918-1,PC,"4,553",0,0,3765.38,0,0.00,0,0.000,0.0,04/02/2025,04/26/2025,
21-1043365-00050,Finger Cam,ZPTL,,A05,Z600,,,9789,PE04,,,N,N,822,,,12302,,IH6,101,IN,,,,,,AUT SHIRWAL,,350,,,,21-1043365-00050,PC,4,0,0,0.04,0,0.00,0,0.000,0.0,,06/16/2025,
2338584-2,"ASSY, 2P AKI SQUIB,L-1550",ZFRT,,F03,Z100,47869868,,L733,PE01,,C,C,N,822,,,43187,AE9,,101,IN,C,,,,,AUT SHIRWAL FG,,G03,,7.0,,2338584-2,PC,"2,890",0,0,157273.8,0,0.00,0,0.000,0.0,11/04/2023,11/09/2023,
2443299-1,"66POS,HYBRID,REC HSG,UNSLD",ZHLB,,F01,Z200,2534617589,,Y297,PE01,,B,C,N,822,,,43066,,,101,IN,B,,,,,AUT SHIRWAL FG,,AG8,,2.0,,2443299-1,PC,420,0,0,7093.8,0,0.00,0,0.000,0.0,,06/07/2025,
28-1949758-00409,CORE INSERT-409,ZPTL,,A05,Z600,,,9789,PE04,,,N,N,822,,,12302,,IH6,101,IN,,,,,,AUT SHIRWAL,,350,,,,28-1949758-00409,PC,2,0,0,0.02,0,0.00,0,0.000,0.0,,,
1-2454655-1,"PIN CONTACT, DIA 3.0, PP",ZHLB,,A11,Z501,79021585,,J880,,,C,,N,822,410044.0,Spectronic Plating Pvt Ltd,14003,,IH1,101,IN,A,O,,,,AUT SHIRWAL,,P27,,,,,PC,1,0,0,24.39,0,0.00,0,0.000,0.0,03/13/2025,03/13/2025,
28-1819172-00352,Core Insert,ZPTL,,A05,Z600,,,9789,PE04,,,N,N,822,,,12302,,IH6,101,IN,,,,,,AUT SHIRWAL,,350,,,,28-1819172-00352,PC,4,0,0,0.0,0,0.00,0,0.000,0.0,,,
1-968853-1,"AMP MCP 2.8, CONTACT",ZHLB,,A03,Z501,25092024,,M040,PE01,,C,C,X,822,,,43106,AE9,IH7,101,,E,,,,,AUT SHIRWAL,,N09,,1.0,,1-968853-1,PC,"2,000",0,0,4679.84,0,0.00,0,0.000,0.0,,09/25/2024,
28-1209706-00133,CAVITY INSERT,ZPTL,,A05,Z600,,,9789,PE04,,,N,N,822,,,12302,,IH6,101,IN,,,,,,AUT SHIRWAL,,350,,,,28-1209706-00133,PC,4,0,0,0.04,0,0.00,0,0.000,0.0,,,
28-1209707-00586,CORE INSERT,ZPTL,,A05,Z600,,,9789,PE04,,,N,N,822,,,12302,,IH6,101,IN,,,,,,AUT SHIRWAL,,350,,,,28-1209707-00586,PC,6,0,0,0.06,0,0.00,0,0.000,0.0,,,
2066412-1,Carton Pad 680 X 460 mm (4 cyl),ZROH,,A05,Z630,89065625,,M289,PE01,,C,U,X,822,,,43186,AE9,IH6,101,IN,A,,,,,AUT SHIRWAL,,N03,,,,2066412-1,PC,100,0,0,964.62,0,0.00,0,0.000,0.0,07/30/2025,07/30/2025,
3-1418462-2,"TAB 1,2 X 0,6",ZHLB,,A11,Z501,86024936,,M709,PE01,,B,C,X,822,,,43091,,IBY,101,DE,A,,,,,AUT SHIRWAL,,NAU,,,,3-1418462-2,PC,"707,748",0,0,1657984.62,0,0.00,0,0.000,0.0,06/20/2025,07/16/2025,
235553-1,"4.0 sq mm cble, FLRY-B,Brown",ZROH,,A04,Z501,87250209,,8004,PE01,,A,C,X,822,,,12302,AE9,IIS,101,TR,O,,,,,AUT SHIRWAL,,029,,,,235553-1,M,"1,142",0,0,45963.18,0,0.00,0,0.000,0.0,07/05/2025,07/05/2025,
28-1209707-00719,SLIDER INSERT,ZPTL,,A05,Z600,,,9789,PE04,,,N,N,822,,,12302,,IH6,101,IN,,,,,,AUT SHIRWAL,,350,,,,28-1209707-00719,PC,1,0,0,0.01,0,0.00,0,0.000,0.0,,,
2066722-1,WIRE FLRY-B 0.50 MM2 GREEN-BROWN (LOCAL),ZROH,,A05,Z501,86105564,,8004,PE01,,C,C,N,822,,,12302,AE9,IH7,101,IN,A,,,,,AUT SHIRWAL,,029,,,,2066722-1,M,"8,000",0,0,37400.4,0,0.00,0,0.000,0.0,06/17/2025,06/17/2025,
28-1819197-00508,Sidecore Insert,ZPTL,,A05,Z600,,,9789,PE04,,,N,N,822,,,12302,,IH6,101,IN,,,,,,AUT SHIRWAL,,350,,,,28-1819197-00508,PC,2,0,0,0.02,0,0.00,0,0.000,0.0,,,
956301-1,"FLRY 0,5MM?, A-SN, BLACK",ZFRT,,A04,Z501,87250281,,M248,PE01,,C,C,X,822,,,43058,AE9,IIS,101,TR,B,,,,,AUT SHIRWAL,,895,,,,956301-1,M,"11,500",0,0,66685.05,0,0.00,0,0.000,0.0,07/05/2025,07/05/2025,
28-1949758-00407,CORE INSERT-407,ZPTL,,A05,Z600,,,9789,PE04,,,N,N,822,,,12302,,IH6,101,IN,,,,,,AUT SHIRWAL,,350,,,,28-1949758-00407,PC,2,0,0,0.02,0,0.00,0,0.000,0.0,,,
8829354001,FRAG-3.2/1.6-0-SP,ZFRT,,A03,Z501,20TR6841,,C343,PE01,,C,C,X,822,,,13048,AE9,IX3,101,CZ,O,,,,,AUT SHIRWAL,,652,,7.0,,FRAG-3.2/1.6-0-SP,M,100,0,0,5756.43,0,0.00,0,0.000,0.0,02/21/2021,03/14/2021,
28-1209706-00139,CAVITY INSERT,ZPTL,,A05,Z600,,,9789,PE04,,,N,N,822,,,12302,,IH6,101,IN,,,,,,AUT SHIRWAL,,350,,,,28-1209706-00139,PC,4,0,0,0.04,0,0.00,0,0.000,0.0,,02/19/2024,
956301-4,"WIRE FLRY-0,5A TINNED, LEITUNG FLRY-0,5-",ZFRT,,A04,Z501,87250292,,M248,PE01,,B,C,N,822,,,43058,AE9,IIS,101,TR,A,,,,,AUT SHIRWAL,,895,,,,956301-4,PC,"4,860.815",0,0,28186.41,0,0.00,0,0.000,0.0,07/05/2025,07/05/2025,
29-1819100-10717,SIDE CORE INSERT,ZPTL,,A03,Z600,,,9789,PE04,,,N,N,822,,,12302,,IX4,101,IN,,,,,,AUT SHIRWAL,,350,,,,29-1819100-10717,PC,7,0,0,0.07,0,0.00,0,0.000,0.0,,,
2311144-1,CABLE USB 2.0 28AWG/1P + 20 AWG/2C,ZHLB,,A04,Z501,KZ04028-C,,8004,PE01,,A,C,N,822,,,12302,,IIS,101,CN,A,,,,,AUT SHIRWAL,,029,,,,2311144-1,M,"9,507.096",0,0,388407.18,0,0.00,0,0.000,0.0,07/22/2025,07/22/2025,
29-1819111-10308,CORE INSERT,ZPTL,,A03,Z600,,,9789,PE04,,,N,N,822,,,12302,,IX4,101,IN,,,,,,AUT SHIRWAL,,350,,,,29-1819111-10308,PC,7,0,0,0.07,0,0.00,0,0.000,0.0,,,
29-0040640-00205,CAVITY INSERT,ZPTL,,A05,Z600,,,9789,PE04,,,N,N,822,,,12302,,IH6,101,IN,,,,,,AUT SHIRWAL,,350,,,,29-0040640-00205,PC,8,0,0,0.08,0,0.00,0,0.000,0.0,,06/05/2025,
3-2293469-2,"ACTUATOR,CHARGE INLET TYPE2 MS 4W,ASSY",ZFRT,,A11,Z501,47354345,,J880,PERT,,A,X,N,822,,,14003,,IJX,101,CZ,K,,,,,AUT SHIRWAL,,P27,,,,3-2293469-2,PC,705,0,0,327039.9,0,0.00,0,0.000,0.0,10/15/2023,02/11/2025,
1670990-1,10POS MQS REC COD A,ZHLB,,A03,Z501,86611772,,M133,PE01,,C,C,X,822,,,43169,AE9,IX3,101,HU,A,,,,,AUT SHIRWAL,,N02,,1.0,,1670990-1,PC,"40,000",0,0,76520.4,0,0.00,0,0.000,0.0,07/01/2025,07/19/2025,
1718013-1,CABLE TIE,ZHLB,,A05,Z501,85343613,,4178,PE01,,C,C,X,822,,,43058,AE9,G63,101,SG,A,,,,,AUT SHIRWAL,,895,,,,1718013-1,PC,"30,362",0,0,61484.26,0,0.00,0,0.000,0.0,06/05/2025,06/05/2025,
28-1209706-00135,CAVITY INSERT,ZPTL,,A05,Z600,,,9789,PE04,,,N,N,822,,,12302,,IH6,101,IN,,,,,,AUT SHIRWAL,,350,,,,28-1209706-00135,PC,4,0,0,0.04,0,0.00,0,0.000,0.0,,,
2382941-1,"E,PLASBAG,500X500",ZVRP,,A05,Z630,,,M270,PE01,,C,N,N,822,,,43113,,IH6,101,,,,,,,AUT SHIRWAL,,P16,,,,2382941-1,PC,"1,106.768",0,0,6640.94,0,0.00,0,0.000,0.0,,07/29/2025,
2318114-1,HELLERMANNTYTON FIXING TIE T30RFT5HR,ZFRT,,A05,Z501,29960308,,M270,PE01,,C,C,N,822,,,43113,AE9,G63,101,SG,A,,,,,AUT SHIRWAL,,P16,,3.0,,2318114-1,PC,343,0,0,1604.6,0,0.00,0,0.000,0.0,12/08/2020,01/15/2021,
2338584-1,"ASSY, 2P AKI SQUIB, L-1120",ZFRT,,F03,Z100,50406765,,L733,PE01,,C,C,N,822,,,43187,AE9,,101,IN,C,,,,,AUT SHIRWAL FG,,G03,,7.0,,2338584-1,PC,170,0,0,8545.9,0,0.00,0,0.000,0.0,02/22/2024,02/22/2024,
28-1957362-11600,FRONT INSERT,ZPTL,,A05,Z600,,,9789,PE04,,,N,N,822,,,12302,,IH6,101,IN,,,,,,AUT SHIRWAL,,350,,,,28-1957362-11600,PC,4,0,0,0.04,0,0.00,0,0.000,0.0,,05/19/2025,
21-1018295-02012,BLADE EJECTOR,ZPTL,,A05,,,,9789,PE04,,,N,N,822,,,12302,,IH6,101,IN,,,,,,AUT SHIRWAL,,350,,,,21-1018295-02012,PC,16,0,0,0.16,0,0.00,0,0.000,0.0,,04/22/2024,
21-1018858-00106,CAVITY INSERT,ZPTL,,A03,Z600,,,9789,PE04,,,N,N,822,,,12302,,IX4,101,IN,,,,,,AUT SHIRWAL,,350,,,,21-1018858-00106,PC,4,0,0,0.04,0,0.00,0,0.000,0.0,,,
29-1819008-10208,Cavity Insert,ZPTL,,A05,Z600,,,9789,PE04,,,N,N,822,,,12302,,IH6,101,IN,,,,,,AUT SHIRWAL,,350,,,,29-1819008-10208,PC,6,0,0,0.06,0,0.00,0,0.000,0.0,,03/20/2025,
1417663-4,coil carrier (bundle of sheets),ZHLB,,A05,Z501,79121578,,E951,,,A,,X,822,410922.0,ANIL PLASTICS & ENTERPRISES,43061,,IBY,101,IN,A,O,,,,AUT SHIRWAL,,K27,,,,,PC,6,0,0,7085.58,0,0.00,0,0.000,0.0,03/15/2025,03/15/2025,
21-1819165-00320,Core Insert,ZPTL,,A05,Z600,,,9789,PE04,,,N,N,822,,,12302,,IH6,101,IN,,,,,,AUT SHIRWAL,,350,,,,21-1819165-00320,PC,2,0,0,0.02,0,0.00,0,0.000,0.0,,,
936992-8,C-6 BOX,ZVRP,,A05,Z630,,,8065,PE01,,C,U,X,822,,,12302,AE9,IXF,101,IN,,,,,,AUT SHIRWAL,,029,,,,936992-8,PC,146.668,0,0,4979.09,0,0.00,0,0.000,0.0,,07/29/2025,
174150-2,040/070 COMB MULTI 64P CAP HSG,ZHLB,,A11,Z501,2724695050,,M129,PE01,,C,C,X,822,,,43110,,IBY,101,JP,D,,,,,AUT SHIRWAL,,N18,,,,174150-2,PC,"1,500",0,0,25440.0,0,0.00,0,0.000,0.0,07/06/2023,08/18/2023,
21-1819201-00304,Core insert,ZPTL,,A05,Z600,,,9789,PE04,,,N,N,822,,,12302,,IH6,101,IN,,,,,,AUT SHIRWAL,,350,,,,21-1819201-00304,PC,4,0,0,0.04,0,0.00,0,0.000,0.0,,12/17/2024,
21-1819165-00572,Finger Cam Stopper,ZPTL,,A05,Z600,,,9789,PE04,,,N,N,822,,,12302,,,101,IN,,,,,,AUT SHIRWAL,,350,,,,21-1819165-00572,PC,16,0,0,0.16,0,0.00,0,0.000,0.0,,11/14/2024,
21-1972224-00104,Cavity Insert,ZPTL,,A05,Z600,,,9789,PE04,,,N,N,822,,,12302,,IH6,101,IN,,,,,,AUT SHIRWAL,,350,,,,21-1972224-00104,PC,10,0,0,0.1,0,0.00,0,0.000,0.0,,12/12/2024,
21-1972223-10905,Eje(ERVWR2.5-138.16-P2.00-W0.8-R0.2-N85,ZPTL,,A05,Z600,,,9789,PE04,,,N,N,822,,,12302,,IH6,101,IN,,,,,,AUT SHIRWAL,,350,,,,21-1972223-10905,PC,8,0,0,0.08,0,0.00,0,0.000,0.0,,09/24/2024,
1952067-1,20 POS. CAP HOUSING (HORIZONTAL-TYPE),ZHLB,,A07,Z500,88886149,,M129,PE01,,B,C,N,822,,,43110,AE9,IH2,101,IN,A,,,,,AUT SHIRWAL,,N18,,,,1952067-1,PC,"9,000",0,0,40680.0,0,0.00,0,0.000,0.0,07/28/2025,07/28/2025,
3-1203436-1,"WIRE,FLRY-B,4,RED/YELLOW",ZHLB,,A05,Z501,87511610,,L727,PE01,,A,C,X,822,,,43058,AE9,IH7,101,IN,NR,,,,,AUT SHIRWAL,,895,,,,3-1203436-1,M,"2,100",0,0,76683.26,0,0.00,0,0.000,0.0,07/09/2025,07/09/2025,
51-1865341-32775,Motor Pin Cutter 2,ZPTL,,A05,Z600,,,9789,PE04,,,N,N,822,,,12302,,IH6,101,IN,,,,,,AUT SHIRWAL,,350,,,,51-1865341-32775,PC,2,0,0,0.02,0,0.00,0,0.000,0.0,,02/28/2025,
21-1974354-00302,Core Pin,ZPTL,,A05,Z600,,,9789,PE04,,,N,N,822,,,12302,,IH6,101,IN,,,,,,AUT SHIRWAL,,350,,,,21-1974354-00302,PC,8,0,0,0.08,0,0.00,0,0.000,0.0,,07/18/2025,
2394220-1,"COMBO 2,CHARGE INLET HSG,RAIDER SEAL",ZFRT,,A11,Z600,244002D,,J880,PE01,,C,C,N,822,,,14003,,IBZ,101,CN,A,,,,,AUT SHIRWAL,,P27,,,,2394220-1,PC,"1,394",0,0,25921.69,0,0.00,0,0.000,0.0,09/30/2024,12/28/2024,
704395-9,"PBT COLORANT, LIGHT BLUE 4/5863PBT, A",ZROH,,A04,Z600,87353755,,8012,PE01,,C,C,X,822,,,12302,AE9,IIS,101,DE,B,,,,,AUT SHIRWAL,,029,,,,704395-9,KG,25,0,0,64042.09,0,0.00,0,0.000,0.0,07/12/2025,07/12/2025,
964269-5,TAB A 1.6x0.6 CONTACT CF SWS Ag,ZFRT,,A11,Z501,16363777,,M028,PE01,,C,C,X,822,,,43127,,,101,CZ,A,,,,,AUT SHIRWAL,,N05,,1.0,,964269-5,PC,"3,700",0,0,8258.4,0,0.00,0,0.000,0.0,04/12/2023,04/28/2018,
29-1819086-10722,DATE CODE INSERT,ZPTL,,A03,Z600,,,9789,PE04,,,N,N,822,,,12302,,IX4,101,IN,,,,,,AUT SHIRWAL,,350,,,,29-1819086-10722,PC,4,0,0,0.04,0,0.00,0,0.000,0.0,,04/08/2025,
28-1819195-00316,Core insert,ZPTL,,A05,Z600,,,9789,PE04,,,N,N,822,,,12302,,IH6,101,IN,,,,,,AUT SHIRWAL,,350,,,,28-1819195-00316,PC,2,0,0,0.02,0,0.00,0,0.000,0.0,,,
2379811-1,"AKI CODE A CABLE ASSEMBLY, SRC",ZFRT,,F03,Z200,86374886,,L733,PE01,,A,C,N,822,,,43187,,,101,IN,B,,,,,AUT SHIRWAL FG,,G03,,7.0,,2379811-1,PC,"1,200",0,0,60996.0,0,0.00,0,0.000,0.0,06/21/2025,06/21/2025,
29-1819008-10115,Locating Ring,ZPTL,,A05,Z600,,,9789,PE04,,,N,N,822,,,12302,,IH6,101,IN,,,,,,AUT SHIRWAL,,350,,,,29-1819008-10115,PC,1,0,0,0.01,0,0.00,0,0.000,0.0,,,
5-928999-5,"MQS0,63 Au rec LL unseal. >0,2-0,35",ZFRT,,A03,Z501,8600001799,,M012,PE01,,C,C,N,822,,,43171,,IX3,101,DE,T,,,,,AUT SHIRWAL,,N01,,1.0,,5-928999-5,PC,"16,923.213",0,0,26253.49,0,0.00,0,0.000,0.0,09/06/2024,10/15/2024,
1-2289119-2,MS1 0.63X0.63 TERMINAL,ZFRT,,A11,Z501,24403N,,M007,PE01,,C,N,N,822,,,43176,,IBZ,101,CN,B,,,,,AUT SHIRWAL,,N61,,,,1-2289119-2,PC,"80,000",0,0,45429.6,0,0.00,0,0.000,0.0,10/01/2024,10/30/2024,
21-1819166-00565,Holder,ZPTL,,A05,Z600,,,9789,PE04,,,N,N,822,,,12302,,IH6,101,IN,,,,,,AUT SHIRWAL,,350,,,,21-1819166-00565,PC,2,0,0,0.02,0,0.00,0,0.000,0.0,,03/05/2025,
51-1014642-32631,Sucher,ZPTL,,,,,,9789,PE04,,,N,N,822,,,12302,,,101,,,,,,,,,350,,,,51-1014642-32631,PC,13,0,0,0.13,0,0.00,0,0.000,0.0,,,
2380445-1,"10POS,HYBRID,HDR HSG,90DEG,SLDR",ZHLB,,A07,Z500,88792171,,M270,PE01,,A,C,N,822,,,43113,,IBY,101,IN,A,,,,,AUT SHIRWAL,,P16,,7.0,,2380445-1,PC,"1,600",0,0,12864.0,0,0.00,0,0.000,0.0,07/26/2025,07/26/2025,
28-1209707-00576,CORE INSERT,ZPTL,,A05,Z600,,,9789,PE04,,,N,N,822,,,12302,,IH6,101,IN,,,,,,AUT SHIRWAL,,350,,,,28-1209707-00576,PC,4,0,0,0.04,0,0.00,0,0.000,0.0,,,
1719153-1,"4pos. 1,5mm System, harness",ZFRT,,A07,Z500,85588964,,M248,,,B,,X,822,410922.0,ANIL PLASTICS & ENTERPRISES,43058,,IBY,101,IN,D,O,,,,AUT SHIRWAL,,895,,,,,PC,6,0,0,2384.58,0,0.00,0,0.000,0.0,06/10/2025,06/10/2025,
170361-1,UNIV M-N-L SOC. 26-22 AWG,ZHLB,,A03,Z501,25231N1,,1312,PE01,,C,C,X,822,,,30044,,IBY,101,CN,U,,,,,AUT SHIRWAL,,238,,,,170361-1,PC,"48,000",0,0,17160.0,0,0.00,0,0.000,0.0,06/01/2025,06/21/2025,
1-1203458-4,WIRE FLRY-A 0.35MM2 YELLOW-WHITE-Leoni,ZHLB,,A04,Z501,88789882,,M289,PE01,,B,C,X,822,,,43186,AE9,IIS,101,TR,A,,,,,AUT SHIRWAL,,N03,,,,1-1203458-4,M,"34,028",0,0,130484.79,0,0.00,0,0.000,0.0,07/26/2025,07/26/2025,
2443310-1,"FACIAL SEAL,HYBRID,BLK",ZHLB,,A11,Z501,80815929,,Y297,PE01,,C,C,N,822,,,43066,,IBY,101,IN,A,,,,,AUT SHIRWAL,,AG8,,,,2443310-1,PC,351,0,0,2762.37,0,0.00,0,0.000,0.0,04/09/2025,04/09/2025,
3-973054-3,CORE 160 X 20,ZVRP,,A11,Z600,,,8066,PE01,,C,U,X,822,,,12302,,IBZ,101,,,,,,,AUT SHIRWAL,,029,,,,3-973054-3,PC,2,0,0,40.09,0,0.00,0,0.000,0.0,,07/30/2025,
1-704205-0,"ULTRAMID TKR4355G5, BLACK 00564, A",ZROH,,A04,Z600,17649167J0,,8120,PE01,,A,C,X,822,,,12302,,IIS,101,DE,D,,,,,AUT SHIRWAL,,029,,,,1-704205-0,KG,559.239,0,0,367037.5,50,"1,118.00",0,0.000,0.0,07/12/2025,07/12/2025,
28-1953309-00101,CAVITY INSERT,ZPTL,,A05,Z600,,,9789,PE04,,,N,N,822,,,12302,,IH6,101,IN,,,,,,AUT SHIRWAL,,350,,,,28-1953309-00101,PC,1,0,0,0.01,0,0.00,0,0.000,0.0,,,
170032-2,"250 FASTON,REC.,20-14 AWG,BR",ZFRT,,A03,Z501,24416N,,1103,PE01,,C,C,X,822,,,30047,AE9,IH1,101,CN,AS,,,,,AUT SHIRWAL,,214,,,,170032-2,PC,"9,762.105",0,0,8226.92,0,0.00,0,0.000,0.0,10/11/2024,11/20/2024,
21-1953074-52400,Core Insert,ZPTL,,A05,Z600,,,9789,PE04,,,N,N,822,,,12302,,IH6,101,IN,,,,,,AUT SHIRWAL,,350,,,,21-1953074-52400,PC,6,0,0,0.06,0,0.00,0,0.000,0.0,,,
28-1949759-00114,Cavity Insert,ZPTL,,A05,Z600,,,9789,PE04,,,N,N,822,,,12302,,IH6,101,IN,,,,,,AUT SHIRWAL,,350,,,,28-1949759-00114,PC,10,0,0,0.1,0,0.00,0,0.000,0.0,,,
1563336-1,16POS MQS REC COD A,ZFRT,,A03,Z501,70237518,,M133,PE01,,C,C,N,822,,,43169,,IH2,101,HU,A,,,,,AUT SHIRWAL,,N02,,1.0,,1563336-1,PC,10,0,0,26.65,0,0.00,0,0.000,0.0,12/07/2024,03/25/2025,
