Material,Material Description,Material T,Long Text,CTL,MRP group,Batch #,C/N,Product Hi,Storage Lo,Storage Bi,ABC Indica,ELV ROHS,Lead Free,Plant,Vendor,Vendor Name,CBC Code:,Prodn Supe,Purch. Gro,Profit Cen,Ctry of or,Revision L,Spl. Stock,Sales Orde,Sales Orde.1,Customer,Planning l,VMSS Indic,GPL Code,VSM Name,Global Por,Manufacture Part No,Catalog No,UOM,Unrestrict,Restricted,QC Stock,Inv Value,Safety Sto,SS %,Stock in t,Blocked St,Blocked St.1,Date of Ma,Last goods,End of lif
2354643-3,"W/H WITH VCI, HEATING",ZFRT,,F01,Z100,88699834,,CE92,PE01,,B,C,N,822,,,43187,AE9,IH8,101,IN,C,,,,,AUT SHIRWAL FG,,G03,,7.0,,2354643-3,PC,80,0,0,20296.0,0,0.00,0,0.000,0.0,07/25/2025,07/25/2025,
1670988-1,4POS MQS REC COD A,ZHLB,,A03,Z501,PA25257,,M133,PE01,,A,C,X,822,,,43169,AE9,IX3,101,DE,A,,,,,AUT SHIRWAL,,N02,,1.0,,1670988-1,PC,"230,368",0,0,341978.99,0,0.00,0,0.000,0.0,06/21/2025,07/28/2025,
29-1819019-26102,Side Core insert,ZPTL,,A03,Z600,,,9789,PE04,,,N,N,822,,,12302,,IH6,101,IN,,,,,,AUT SHIRWAL,,350,,,,29-1819019-26102,PC,6,0,0,0.06,0,0.00,0,0.000,0.0,,,
21-0138550-10411,CORE INSERT,ZPTL,,A03,Z600,,,9789,PE04,,,N,N,822,,,12302,,IX4,101,IN,,,,,,AUT SHIRWAL,,350,,,,21-0138550-10411,PC,5,0,0,0.05,0,0.00,0,0.000,0.0,,,
7-1452665-1,MCON 1.2 LL REC SWS SN,ZFRT,,A03,Z501,22482463,,M020,PE01,,C,C,X,822,,,43103,,IH7,101,DE,A,,,,,AUT SHIRWAL,,N13,,1.0,,7-1452665-1,PC,"4,062",0,0,3188.14,0,0.00,0,0.000,0.0,02/22/2023,09/01/2019,
28-1957304-00604,Finger cam E1034/16X70,ZPTL,,A05,Z600,,,9789,PE04,,,N,N,822,,,12302,,IH6,101,IN,,,,,,AUT SHIRWAL,,350,,,,28-1957304-00604,PC,3,0,0,0.03,0,0.00,0,0.000,0.0,,09/30/2024,
2168151-1,"HOUSING,PA CONNECTOR,CRIMP STYLE STANDAR",ZHLB,,A04,Z501,43704854,,8010,PE01,,C,C,X,822,,,41783,AE9,IIS,101,GB,A,,,,,AUT SHIRWAL,,044,,,,2168151-1,PC,"24,000",0,0,62748.0,0,0.00,0,0.000,0.0,01/11/2023,03/18/2023,
21-1819165-00315,Core Insert,ZPTL,,A05,Z600,,,9789,PE04,,,N,N,822,,,12302,,IH6,101,IN,,,,,,AUT SHIRWAL,,350,,,,21-1819165-00315,PC,10,0,0,0.1,0,0.00,0,0.000,0.0,,,
21-1976519-02011,EPH -L5-285,ZPTL,,A05,Z600,,,9789,PE04,,,N,N,822,,,12302,,IH6,101,IN,,,,,,AUT SHIRWAL,,350,,,,21-1976519-02011,PC,4,0,0,0.04,0,0.00,0,0.000,0.0,,04/02/2025,
2331268-1,"PLASBAG,630X700",ZVRP,,A05,Z630,,,8065,PE01,,C,N,N,822,,,12302,,IBY,101,,,,,,,AUT SHIRWAL,,029,,,,2331268-1,PC,410.642,0,0,3319.36,0,0.00,0,0.000,0.0,,07/23/2025,
1-2066701-4,WIRE FLRY-A 0.35 MM2 (RED / BLUE),ZROH,,A04,Z501,87254978,,8004,PE01,,C,C,N,822,,,12302,AE9,IIS,101,TR,A,,,,,AUT SHIRWAL,,029,,,,1-2066701-4,M,"16,244",0,0,62289.73,0,0.00,0,0.000,0.0,07/05/2025,07/05/2025,
2066208-1,Female contact DCS 2 - 1.5 (Ne,ZHLB,,A05,Z501,76675112,,M289,PE01,,C,C,N,822,,,43186,AE9,G30,101,IN,NR,,,,,AUT SHIRWAL,,N03,,,,2066208-1,PC,"20,000",0,0,144067.2,0,0.00,0,0.000,0.0,02/04/2025,02/04/2025,
21-0040305-00103,cavity insert,ZPTL,,A03,Z600,,,9789,PE04,,,N,N,822,,,12302,,IX4,101,IN,,,,,,AUT SHIRWAL,,350,,,,21-0040305-00103,PC,51,0,0,0.51,0,0.00,0,0.000,0.0,,07/01/2025,
59-1068431-00527,SY3245-5FU-Q - Bistabil Ventil,ZPTL,,A03,Z600,,,9789,PE04,,,N,N,822,,,12302,,IX4,101,IN,,,,,,AUT SHIRWAL,,350,,,,59-1068431-00527,PC,2,0,0,0.02,0,0.00,0,0.000,0.0,,,
29-0138550-10205,Cavity Insert,ZPTL,,A05,Z600,,,9789,PE04,,,N,N,822,,,12302,,IH6,101,IN,,,,,,AUT SHIRWAL,,350,,,,29-0138550-10205,PC,6,0,0,0.06,0,0.00,0,0.000,0.0,,,
6-1419167-1,2X8 MALE INLINE ASSY KEY A,ZFRT,,A03,Z501,0229763284,,M127,PE01,,C,C,N,822,,,43166,AE9,IX3,101,MX,D,,,,,AUT SHIRWAL,,N26,,2.0,,6-1419167-1,PC,"2,710",0,0,48517.54,0,0.00,0,0.000,0.0,05/15/2024,09/28/2024,
2337071-1,"2POS,FASTIN-ON 6.3,REC HSG,7123-6020",ZHLB,,A05,Z501,83157375,,L727,PE01,,C,C,N,822,,,43058,,IH0,101,IN,A,,,,,AUT SHIRWAL,,895,,,,2337071-1,PC,600,0,0,2943.86,0,0.00,0,0.000,0.0,05/07/2025,05/07/2025,
2476016-1,ACTUATOR BRACKET,ZHLB,,A11,Z501,88923384,,J880,PE01,,C,C,N,822,,,14003,,IBY,101,IN,D,,,,,AUT SHIRWAL,,P27,,,,2476016-1,PC,600,0,0,4366.53,0,0.00,0,0.000,0.0,07/28/2025,07/28/2025,
21-1819200-00108,Cavity Insert,ZPTL,,A05,Z600,,,9789,PE04,,,N,N,822,,,12302,,IH6,101,IN,,,,,,AUT SHIRWAL,,350,,,,21-1819200-00108,PC,8,0,0,0.08,0,0.00,0,0.000,0.0,,12/17/2024,
21-1959092-00710,Endcap 09TN-W-02,ZPTL,,A05,Z600,,,9789,PE04,,,N,N,822,,,12302,,IH6,101,IN,,,,,,AUT SHIRWAL,,350,,,,21-1959092-00710,PC,2,0,0,0.02,0,0.00,0,0.000,0.0,,02/10/2025,
28-1819186-02003,EJECTOR PIN (E1710/3.5x160),ZPTL,,A05,Z600,,,9789,PE04,,,N,N,822,,,12302,,IH6,101,IN,,,,,,AUT SHIRWAL,,350,,,,28-1819186-02003,PC,8,0,0,0.08,0,0.00,0,0.000,0.0,,,
344262-3,13 WAY RECEPTACLE HOUSINGECONO,ZHLB,,A05,Z501,58001221,,J994,PE01,,C,C,X,822,,,43098,,IBY,101,HU,E,,,,,AUT SHIRWAL,,N34,,,,344262-3,PC,"7,200",0,0,130589.71,0,0.00,0,0.000,0.0,06/27/2024,05/08/2025,
