Material,Material Description,Material T,Long Text,CTL,MRP group,Batch #,C/N,Product Hi,Storage Lo,Storage Bi,ABC Indica,ELV ROHS,Lead Free,Plant,Vendor,Vendor Nam,CBC Code:,Prodn Supe,Purch. Gro,Profit Cen,Ctry of or,Revision L,Spl. Stock,Sales Orde,Sales Orde.1,Customer,Planning l,VMSS Indic,GPL Code,VSM Name,Global Por,Manufactur,Catalog No,UOM,Unrestrict,Restricted,QC Stock,Inv Value,Safety Sto,SS %,Stock in t,Blocked St,Blocked St.1,Date of Ma,Last goods,End of lif
1-1801869-4,"3POS,DIA 1MM CON,REC HSG,SQUIB AK2 P, IV",ZHLB,,A03,Z200,51831030,,M111,MB10,,C,C,N,1268,,,43095,,IBY,101,MA,A,,,,,OTHER BU MUMBAI DC,,N87,,,,1-1801869-4,PC,"18,000",0,0,31642.56,0,0.0,0,0.0,0.0,04/24/2024,06/20/2025,
170349-1,FF 250 TAB 22-20AWG BR WITHOUT LATCH,ZFRT,,A03,Z200,250501,,1106,MB10,,C,C,X,1268,,,30047,,IBY,101,KR,D,,,,,OTHER BU MUMBAI DC,,326,,,,170349-1,PC,"18,000",0,0,17563.14,0,0.0,0,0.0,0.0,05/01/2025,06/30/2025,
34130,"SPLICE,SOLIS PARA 22-16",ZHLB,,A03,I200,0227829502,,3265,MB10,,A,C,X,1268,,,34312,,IBY,431,US,L,,,,,OTHER BU MUMBAI DC,,204,,1.0,,34130,PC,"43,000",0,0,106437.9,0,0.0,0,0.0,0.0,06/22/2023,10/17/2023,
5-1768425-9,LBG-U-02492/2/GREEN/SAMPLE,ZFRT,,A03,I200,125920-1-1,,Y360,MB10,,C,C,N,1268,,,34218,,IBY,501,DE,A1,,,,,OTHER BU MUMBAI DC,,AJ9,,6.0,,5-1768425-9,PC,"28,000",0,0,94961.16,0,0.0,0,0.0,0.0,12/09/2022,01/03/2023,
5-1768425-8,LBG-U-02492/1/BLUE/SAMPLE,ZFRT,,A03,I200,126713-1-1,,Y360,MB10,,C,C,N,1268,,,34218,,IBY,501,FR,A1,,,,,OTHER BU MUMBAI DC,,AJ9,,6.0,,5-1768425-8,PC,"8,000",0,0,24397.2,0,0.0,0,0.0,0.0,12/09/2022,01/03/2023,
34130,"SPLICE,SOLIS PARA 22-16",ZHLB,,A03,I200,0228907514,,3265,MB10,,A,C,X,1268,,,34312,,IBY,431,US,L,,,,,OTHER BU MUMBAI DC,,204,,1.0,,34130,PC,"103,000",0,0,254955.9,0,0.0,0,0.0,0.0,01/09/2024,04/10/2024,
34130,"SPLICE,SOLIS PARA 22-16",ZHLB,,A03,I200,0227982718,,3265,MB10,,A,C,X,1268,,,34312,,IBY,431,US,L,,,,,OTHER BU MUMBAI DC,,204,,1.0,,34130,PC,"60,000",0,0,148518.0,0,0.0,0,0.0,0.0,07/28/2023,12/12/2023,
34130,"SPLICE,SOLIS PARA 22-16",ZHLB,,A03,I200,0228259633,,3265,MB10,,A,C,X,1268,,,34312,,IBY,431,US,L,,,,,OTHER BU MUMBAI DC,,204,,1.0,,34130,PC,"7,000",0,0,17327.1,0,0.0,0,0.0,0.0,10/02/2023,01/12/2024,
